,bhk,area,region,price_in_cr
33713,2,845,Santacruz East,1.99
33714,2,878,Santacruz East,2.39
33715,2,780,Santacruz East,1.59
33716,2,860,Santacruz East,2.16
33717,2,814,Santacruz East,2.39
33718,3,1501,Santacruz East,3.25
33720,2,717,Santacruz East,1.55
33721,2,780,Santacruz East,1.69
33722,3,1289,Santacruz East,3.24
33723,3,1144,Santacruz East,2.76
33724,4,1850,Mahalaxmi,9.48
33725,2,784,Mahalaxmi,3.62
33726,2,797,Mahalaxmi,3.77
33727,3,1046,Mahalaxmi,5.52
33728,3,1048,Mahalaxmi,5.59
33729,3,1368,Mahalaxmi,6.84
33730,2,872,Malad East,1.99
33731,3,1300,Malad East,3.55
33732,2,730,Malad East,1.89
33733,3,947,Malad East,2.85
33734,4,1460,Malad East,3.8
33735,4,1890,Andheri East,3.98
33736,3,1141,Mahim,5.75
33739,2,1000,Andheri West,2.75
33746,2,1232,Ville Parle East,2.75
33747,2,650,Goregaon West,1.45
33748,3,900,Andheri East,2.7
33749,2,998,Powai,2.5
33750,2,845,Bandra East,2.1
33751,3,1228,Bandra East,4.99
33753,2,700,Kandivali West,1.63
33754,4,2560,Prabhadevi,17.86
33755,2,700,Dadar West,3.6
33756,3,1864,Worli,11.94
33758,3,904,Andheri East,2.37
33759,2,649,Andheri West,2.11
33764,4,1300,Andheri West,4.28
33765,4,1345,Goregaon East,3.22
33766,2,943,Andheri East,2.73
33767,2,772,Andheri East,2.3
33768,5,2200,Thane West,5.75
33770,3,998,Malad West,2.65
33771,3,1050,Malad West,2.67
33772,3,1050,Malad West,2.81
33773,4,1288,Malad West,3.3
33774,4,1288,Malad West,3.46
33775,4,1511,Malad West,3.84
33776,4,1511,Malad West,4.04
33777,4,2100,Malad West,5.34
33778,4,1704,Malad West,4.32
33779,4,1507,Andheri West,5.23
33780,3,1450,Andheri West,6.65
33781,4,1752,Juhu,9.6
33782,5,4250,Juhu,25.5
33783,1,650,Goregaon West,1.3
33784,3,1335,Goregaon West,3.5
33785,1,585,Goregaon West,1.45
